Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
53402,Death Road to Canada,death-road-to-canada,Action,,XOne,Unknown,Rocketcat Games,,,,,,,,,,2016,31st Jan 18,http://www.vgchartz.com/game/221001/death-road-to-canada/?region=All,1,,/games/boxart/default.jpg
53415,Degrees of Separation,degrees-of-separation,Puzzle,,XOne,Unknown,Moondrop,,,,,,,,,,2018,19th Feb 19,http://www.vgchartz.com/game/223647/degrees-of-separation/?region=All,1,,/games/boxart/default.jpg
53423,Descent (2019),descent-2019,Shooter,,XOne,Unknown,Descendent Studios,,,,,,,,,,1982,11th Nov 18,http://www.vgchartz.com/game/223052/descent-2019/?region=All,1,,/games/boxart/default.jpg
53428,Desperados III,desperados-iii,Strategy,RP,XOne,THQ Nordic,Mimimi Productions,,,,,,,,,,2019,09th Apr 19,http://www.vgchartz.com/game/224656/desperados-iii/?region=All,1,,/games/boxart/full_2278514AmericaFrontccc.jpg
53439,Devil May Cry 5,devil-may-cry-5,Action,M,XOne,Capcom,Capcom,,,,,,,,,,2019,21st Mar 19,http://www.vgchartz.com/game/222132/devil-may-cry-5/?region=All,1,9,/games/boxart/full_760518AmericaFrontccc.jpg
53441,Dex,dex,Role-Playing,M,XOne,Dreadlocks Ltd,Dreadlocks Ltd,,,,,,,,,,2016,06th Aug 18,http://www.vgchartz.com/game/222505/dex/?region=All,1,,/games/boxart/full_6755286AmericaFrontccc.jpg
53451,Die for Valhalla!,die-for-valhalla,Action,,XOne,Unknown,Monster Couch,,,,,,,,,,2019,04th Jul 18,http://www.vgchartz.com/game/222298/die-for-valhalla/?region=All,1,,/games/boxart/default.jpg
53459,Digimon Survive,digimon-survive,Role-Playing,RP,XOne,Bandai Namco Entertainment,WitchCraft,,,,,,,,,,2019,10th Apr 19,http://www.vgchartz.com/game/224672/digimon-survive/?region=All,1,,/games/boxart/full_347853AmericaFrontccc.jpg
53470,DiRT Rally 2.0,dirt-rally-20,Racing,E,XOne,Deep Silver,Codemasters,,,,,,,,,,2019,17th Dec 18,http://www.vgchartz.com/game/223198/dirt-rally-20/?region=All,1,,/games/boxart/full_3330715AmericaFrontccc.jpg
53478,Disco Dodgeball Remix,disco-dodgeball-remix,Sports,,XOne,Unknown,Zen Studios,,,,,,,,,,2018,14th May 18,http://www.vgchartz.com/game/221973/disco-dodgeball-remix/?region=All,1,,/games/boxart/default.jpg
53496,Doom Eternal,doom-eternal,Shooter,,XOne,Bethesda Softworks,id Software,,,,,,,,,,2019,13th Jun 18,http://www.vgchartz.com/game/222180/doom-eternal/?region=All,1,,/games/boxart/full_3667994AmericaFrontccc.jpg
53521,Dragonball Project Z,dragonball-project-z,Action,RP,XOne,Bandai Namco Games,CyberConnect2,,,,,,,,,,2019,28th Jan 19,http://www.vgchartz.com/game/223368/dragonball-project-z/?region=All,1,,/games/boxart/full_2285663AmericaFrontccc.jpg
53527,Dragons: Dawn of New Riders,dragons-dawn-of-new-riders,Action-Adventure,,XOne,Unknown,Outright Games,,,,,,,,,,1982,11th Nov 18,http://www.vgchartz.com/game/223049/dragons-dawn-of-new-riders/?region=All,1,,/games/boxart/default.jpg
53549,Dying Light 2,dying-light-2,Action,,XOne,Techland,Techland,,,,,,,,,,2019,11th Jun 18,http://www.vgchartz.com/game/222138/dying-light-2/?region=All,1,,/games/boxart/default.jpg
53557,Earthlock: Festival of Magic,earthlock-festival-of-magic,Role-Playing,,XOne,Unknown,Snowcastle Games,,,,,,,,,,2018,10th Jan 18,http://www.vgchartz.com/game/220617/earthlock-festival-of-magic/?region=All,1,,/games/boxart/full_6833965PALFrontccc.jpg
53598,Evoland Legendary Edition,evoland-legendary-edition,Action-Adventure,,XOne,Unknown,Shiro Games,,,,,,,,,,2019,24th Jan 19,http://www.vgchartz.com/game/223345/evoland-legendary-edition/?region=All,1,,/games/boxart/default.jpg
53605,Fable Fortune,fable-fortune,Board Game,,XOne,Mediatonic,Mediatonic,,,,,,,,,,2018,12th Aug 18,http://www.vgchartz.com/game/222612/fable-fortune/?region=All,1,,/games/boxart/full_1709131AmericaFrontccc.jpeg
53622,Far Cry: New Dawn,far-cry-new-dawn,Shooter,M,XOne,Ubisoft,Ubisoft,,,,,,,,,,2019,12th Dec 18,http://www.vgchartz.com/game/223117/far-cry-new-dawn/?region=All,1,,/games/boxart/full_4281634AmericaFrontccc.jpg
53628,FAR: Lone Sails,far-lone-sails,Adventure,E,XOne,Mixtvision,Okomotive,,,,,,,,,,2019,31st Mar 19,http://www.vgchartz.com/game/224562/far-lone-sails/?region=All,1,,/games/boxart/full_1538575AmericaFrontccc.jpg
53649,Final Fantasy IX,final-fantasy-ix,Role-Playing,T,XOne,Square Enix,Square Enix,,,,,,,,,,2019,14th Feb 19,http://www.vgchartz.com/game/223570/final-fantasy-ix/?region=All,1,,/games/boxart/full_6084999AmericaFrontccc.png
53654,Final Fantasy VII,final-fantasy-vii,Role-Playing,,XOne,Square Enix,Square Enix,,,,,,,,,,2019,23rd Mar 19,http://www.vgchartz.com/game/223574/final-fantasy-vii/?region=All,1,,/games/boxart/full_2193480AmericaFrontccc.png
53657,Final Fantasy X / X-2 HD Remaster,final-fantasy-x,Role-Playing,T,XOne,Square Enix,Square Enix,,,,,,,,,,2019,22nd Mar 19,http://www.vgchartz.com/game/222849/final-fantasy-x-x-2-hd-remaster/?region=All,1,,/games/boxart/full_5477172AmericaFrontccc.jpg
53659,Final Fantasy XII: The Zodiac Age,final-fantasy-xii-the-zodiac-age,Role-Playing,T,XOne,Square Enix,Square Enix,,,,,,,,,,2019,01st Apr 19,http://www.vgchartz.com/game/222848/final-fantasy-xii-the-zodiac-age/?region=All,1,,/games/boxart/full_7720900AmericaFrontccc.jpg
53661,Final Fantasy XV Multiplayer: Comrades,final-fantasy-xv-multiplayer-comrades,Role-Playing,,XOne,Square Enix,Square Enix,,,,,,,,,,2018,18th Dec 18,http://www.vgchartz.com/game/223211/final-fantasy-xv-multiplayer-comrades/?region=All,1,,/games/boxart/full_265004AmericaFrontccc.jpg
53666,Final Fantasy XV Pocket Edition HD,final-fantasy-xv-pocket-edition-hd,Role-Playing,T,XOne,Square Enix,Square Enix,,,,,,,,,,2018,18th Dec 18,http://www.vgchartz.com/game/222724/final-fantasy-xv-pocket-edition-hd/?region=All,1,,/games/boxart/full_8769715AmericaFrontccc.jpeg
53680,Flashback,flashback,Platform,,XOne,Microids,Paul Cuisset,,,,,,,,,,2018,31st Oct 18,http://www.vgchartz.com/game/222999/flashback/?region=All,1,,/games/boxart/full_9295097PALFrontccc.jpg
53700,Fortnite: Save the World,fortnite-save-the-world,Shooter,,XOne,Unknown,Epic Games,,,,,,,,,,,10th Apr 19,http://www.vgchartz.com/game/224676/fortnite-save-the-world/?region=All,1,,/games/boxart/default.jpg
53703,Forza Horizon 2 Presents Fast & Furious,forza-horizon-2-presents-fast-amp-furious,Racing,,XOne,Microsoft Studios,Playground Games,,,,,,,,,,2015,15th Oct 18,http://www.vgchartz.com/game/222957/forza-horizon-2-presents-fast-amp-furious/?region=All,1,,/games/boxart/full_9343528AmericaFrontccc.jpeg
53726,Frost,frost,Misc,,XOne,Unknown,Studio des Tenebres,,,,,,,,,,1983,03rd Jul 18,http://www.vgchartz.com/game/222287/frost/?region=All,1,,/games/boxart/default.jpg
53731,Fuga,fuga,Strategy,,XOne,Unknown,CyberConnect2,,,,,,,,,,,19th Jul 18,http://www.vgchartz.com/game/222372/fuga/?region=All,1,,/games/boxart/default.jpg
53756,Gears of War 5,gears-of-war-5,Shooter,M,XOne,Microsoft Studios,The Coalition,,,,,,,,,,2019,10th Apr 19,http://www.vgchartz.com/game/222114/gears-of-war-5/?region=All,1,,/games/boxart/full_3437271AmericaFrontccc.jpg
53761,Generation Zero,generation-zero,Shooter,T,XOne,THQ Nordic,Avalanche Studios,,,,,,,,,,2019,18th Mar 19,http://www.vgchartz.com/game/223849/generation-zero/?region=All,1,4,/games/boxart/full_8671831AmericaFrontccc.jpg
53764,Genesis Alpha One,genesis-alpha-one,Action,RP,XOne,Team17 Digital Ltd,Radiation Blue,,,,,,,,,,2019,02nd Aug 18,http://www.vgchartz.com/game/222426/genesis-alpha-one/?region=All,1,,/games/boxart/full_586321AmericaFrontccc.jpg
53800,GRIP: Combat Racing,grip-combat-racing,Racing,E10,XOne,U&I Entertainment,Caged Element,,,,,,,,,,2018,11th Sep 18,http://www.vgchartz.com/game/221672/grip-combat-racing/?region=All,1,,/games/boxart/full_126014AmericaFrontccc.jpg
53832,Gwent: The Witcher Card Game,gwent-the-witcher-card-game,Misc,T,XOne,CD Projekt Red Studio,CD Projekt Red Studio,,,,,,,,,,2018,19th Dec 18,http://www.vgchartz.com/game/223243/gwent-the-witcher-card-game/?region=All,1,,/games/boxart/full_2680620AmericaFrontccc.jpg
53838,Halo Infinite,halo-infinite,Shooter,,XOne,Microsoft Studios,343 Industries,,,,,,,,,,2019,09th Aug 18,http://www.vgchartz.com/game/222108/halo-infinite/?region=All,1,,/games/boxart/full_7923644PALFrontccc.jpg
53841,Halo Wars: Definitive Edition,halo-wars-definitive-edition,Strategy,,XOne,Microsoft Studios,Behaviour Interactive,,,,,,,,,,2017,26th Sep 18,http://www.vgchartz.com/game/220326/halo-wars-definitive-edition/?region=All,1,,/games/boxart/full_8545258AmericaFrontccc.jpeg
53866,Her Majesty's SPIFFING,her-majestys-spiffing,Adventure,T,XOne,Unknown,Billy Goat Entertainment,,,,,,,,,,,04th Feb 18,http://www.vgchartz.com/game/221020/her-majestys-spiffing/?region=All,1,,/games/boxart/full_768782AmericaFrontccc.jpg
53883,Hitman HD Enhanced Collection,hitman-hd-enhanced-collection,Action,M,XOne,IO Interactive,IO Interactive,,,,,,,,,,2019,23rd Mar 19,http://www.vgchartz.com/game/223306/hitman-hd-enhanced-collection/?region=All,1,,/games/boxart/full_1564348AmericaFrontccc.jpg
53892,Home Sweet Home (2017),home-sweet-home-2017,Adventure,,XOne,Mastiff,"YGGDRAZIL GROUP CO.,LTD",,,,,,,,,,2018,07th Aug 18,http://www.vgchartz.com/game/222524/home-sweet-home-2017/?region=All,1,,/games/boxart/full_4372515AmericaFrontccc.jpg
53895,Horizon Chase Turbo,horizon-chase-turbo,Racing,,XOne,AQUIRIS,Aquiris Game Studio,,,,,,,,,,2018,08th Mar 19,http://www.vgchartz.com/game/223797/horizon-chase-turbo/?region=All,1,,/games/boxart/full_5589754AmericaFrontccc.jpg
53913,I Am Bread,i-am-bread,Simulation,E10,XOne,Bossa Studios,Bossa Studios,,,,,,,,,,2017,11th Aug 18,http://www.vgchartz.com/game/222581/i-am-bread/?region=All,1,,/games/boxart/full_2750971AmericaFrontccc.jpg
53925,Immortal Redneck,immortal-redneck,Shooter,,XOne,CremaGames,CremaGames,,,,,,,,,,2018,07th Mar 18,http://www.vgchartz.com/game/221251/immortal-redneck/?region=All,1,7,/games/boxart/full_2434499AmericaFrontccc.jpg
53939,Infinite Minigolf,infinite-minigolf,Sports,E,XOne,Zen Studios,Zen Studios,,,,,,,,,,2017,20th Jan 18,http://www.vgchartz.com/game/220854/infinite-minigolf/?region=All,1,,/games/boxart/full_7329996AmericaFrontccc.jpg
53943,Infinity Runner,infinity-runner,Action,T,XOne,Wales Interactive Ltd.,Wales Interactive Ltd.,,,,,,,,,,2015,08th Aug 18,http://www.vgchartz.com/game/222549/infinity-runner/?region=All,1,,/games/boxart/full_4704991AmericaFrontccc.jpg
53951,InnerSpace,innerspace,Adventure,,XOne,Aspyr,PolyKnight Games,,,,,,,,,,2018,27th Feb 18,http://www.vgchartz.com/game/221172/innerspace/?region=All,1,,/games/boxart/full_4163589AmericaFrontccc.jpg
53955,Insurgency: Sandstorm,insurgency-sandstorm,Shooter,,XOne,Focus Home Interactive,New World Interactive,,,,,,,,,,2019,12th Dec 18,http://www.vgchartz.com/game/223159/insurgency-sandstorm/?region=All,1,,/games/boxart/default.jpg
53973,Irony Curtain: From Matryoshka,irony-curtain-from-matryoshka,Visual Novel,,XOne,Unknown,Artifex Mundi,,,,,,,,,,2017,25th Jul 18,http://www.vgchartz.com/game/222403/irony-curtain-from-matryoshka/?region=All,1,,/games/boxart/default.jpg
53977,Ittle Dew 2,ittle-dew-2,Action-Adventure,,XOne,Nicalis,Ludosity Interactive,,,,,,,,,,2016,16th Feb 19,http://www.vgchartz.com/game/223614/ittle-dew-2/?region=All,1,,/games/boxart/default.jpg
54002,Jotun: Valhalla Edition,jotun-valhalla-edition,Action,,XOne,Unknown,Thunder Lotus Games,,,,,,,,,,,06th Jan 18,http://www.vgchartz.com/game/220434/jotun-valhalla-edition/?region=All,1,,/games/boxart/default.jpg
54008,Journey To the Savage Planet,journey-to-the-savage-planet,Adventure,,XOne,505 Games,Typhoon Studios,,,,,,,,,,2020,11th Apr 19,http://www.vgchartz.com/game/223120/journey-to-the-savage-planet/?region=All,1,,/games/boxart/full_5996397AmericaFrontccc.jpg
54011,Jump Force,jump-force,Fighting,,XOne,Bandai Namco Entertainment,Spike Chunsoft,,,,,,,,,,2018,11th Jun 18,http://www.vgchartz.com/game/222135/jump-force/?region=All,1,,/games/boxart/full_4604809AmericaFrontccc.jpg
54018,Kalimba,kalimba,Platform,,XOne,Microsoft Studios,Press Play,,,,,,,,,,2014,09th Aug 18,http://www.vgchartz.com/game/222564/kalimba/?region=All,1,,/games/boxart/full_4096028AmericaFrontccc.jpeg
54041,Killer Instinct 2 Classic,killer-instinct-2-classic,Fighting,,XOne,Microsoft Studios,Code Mystics,,,,,,,,,,2014,15th Oct 18,http://www.vgchartz.com/game/222963/killer-instinct-2-classic/?region=All,1,,/games/boxart/full_2388211AmericaFrontccc.jpeg
54042,Killer Instinct Classic,killer-instinct-classic,Fighting,,XOne,Microsoft Studios,Code Mystics,,,,,,,,,,2013,15th Oct 18,http://www.vgchartz.com/game/222962/killer-instinct-classic/?region=All,1,,/games/boxart/full_2314972AmericaFrontccc.jpeg
54043,Killer Instinct: Definitive Edition,killer-instinct-definitive-edition,Fighting,M,XOne,Microsoft Studios,Iron Galaxy,,,,,,,,,,2016,25th May 18,http://www.vgchartz.com/game/220330/killer-instinct-definitive-edition/?region=All,1,,/games/boxart/full_3852267AmericaFrontccc.png
54059,Knee Deep,knee-deep,Adventure,,XOne,Unknown,Prologue Games,,,,,,,,,,,06th Jan 18,http://www.vgchartz.com/game/220471/knee-deep/?region=All,1,,/games/boxart/default.jpg
54062,Knights of Pen and Paper +1 Edition,knights-of-pen-and-paper-1-edition,Role-Playing,,XOne,Unknown,Behold Studios,,,,,,,,,,,20th Mar 19,http://www.vgchartz.com/game/223942/knights-of-pen-and-paper-1-edition/?region=All,1,,/games/boxart/default.jpg
54073,Konami Anniversary Collection: Arcade Classics,konami-anniversary-collection-arcade-classics,Misc,,XOne,Unknown,Konami,,,,,,,,,,,19th Mar 19,http://www.vgchartz.com/game/223912/konami-anniversary-collection-arcade-classics/?region=All,1,,/games/boxart/full_1128875AmericaFrontccc.png
54080,LA Cops,la-cops,Shooter,M,XOne,Team17 Software,Modern Dream,,,,,,,,,,2015,11th Aug 18,http://www.vgchartz.com/game/222583/la-cops/?region=All,1,,/games/boxart/full_5086350AmericaFrontccc.jpg
54086,La-Mulana 2,la-mulana-2,Platform,,XOne,Active Gaming Media,Nigoro,,,,,,,,,,2019,08th Apr 19,http://www.vgchartz.com/game/224645/la-mulana-2/?region=All,1,,/games/boxart/full_4918505AmericaFrontccc.jpg
54098,Late Shift,late-shift,Adventure,,XOne,Unknown,CtrlMovie,,,,,,,,,,,08th Apr 19,http://www.vgchartz.com/game/220462/late-shift/?region=All,1,,/games/boxart/full_4300804AmericaFrontccc.jpg
54114,Let's Sing 2016,lets-sing-2016,Music,T,XOne,Ravenscourt,Voxler,,,,,,,,,,2015,07th Apr 18,http://www.vgchartz.com/game/221809/lets-sing-2016/?region=All,1,,/games/boxart/full_8541127PALFrontccc.jpg
54124,Life is Strange 2,life-is-strange-2,Adventure,M,XOne,Square Enix,Dotnod Entertainment,,,,,,,,,,2018,24th Mar 19,http://www.vgchartz.com/game/222244/life-is-strange-2/?region=All,1,,/games/boxart/full_3022250AmericaFrontccc.jpg
