Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,Global_Sales,Year,New Average Prices
8338,Bladestorm: Nightmare,Action,T,PS4,Tecmo Koei,Omega Force,,0.22,2015.0,27.735
8360,Zombie Army Trilogy,Shooter,M,PS4,Rebellion Developments,Rebellion Developments,,0.22,2015.0,51.165
8370,Outlast Trinity,Action,,PS4,Warner Bros. Interactive Entertainment,Red Barrels,,0.22,2017.0,72.715
8381,Judgment,Action-Adventure,M,PS4,Sega,Sega,,0.22,2019.0,25.23
8392,Warriors Orochi 4,Action,T,PS4,Koei Tecmo,Omega Force,,0.22,2018.0,35.655
8572,NBA Live 16,Sports,E,PS4,EA Sports,EA Tiburon,,0.21,2015.0,12.93
8580,Conan Exiles,Action-Adventure,M,PS4,Maximum Games,Funcom Oslo A/S,,0.21,2018.0,29.59
8607,Devil May Cry HD Collection,Action,,PS4,Capcom,Capcom,,0.21,2018.0,34.19
8613,7 Days to Die,Action,M,PS4,Telltale Games,The Fun Pimps,,0.21,2016.0,111.60499999999999
8624,Dynasty Warriors 8: Empires,Misc,,PS4,Tecmo Koei,Unknown,,0.21,2015.0,41.33
8627,Dragon's Dogma: Dark Arisen,Role-Playing,M,PS4,Capcom,Capcom,,0.21,2017.0,36.875
8677,Kingdom Hearts: The Story So Far,Role-Playing,,PS4,Square Enix,Square Enix,,0.2,2018.0,22.71
8892,Agents of Mayhem,Action,M,PS4,Deep Silver,Volition Inc.,,0.2,2017.0,10.4
8909,MotoGP 14,Racing,E,PS4,Namco Bandai Games,Milestone S.r.l.,,0.2,2014.0,17.77
9063,NBA Live 19,Sports,,PS4,Electronic Arts,EA Tiburon,,0.19,2018.0,20.259999999999998
9145,Creed: Rise to Glory,Sports,,PS4,Sony Interactive Entertainment,Survios,,0.19,2018.0,28.0
9146,God Eater 3,Role-Playing,T,PS4,Bandai Namco Entertainment,Bandai Namco Studios,,0.19,2019.0,18.08
