Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
29931,Enter the Gungeon,enter-the-gungeon,Shooter,,PS4,Devolver Digital,Dodge Roll,,,,,,,,,,2016,,http://www.vgchartz.com/game/84948/enter-the-gungeon/?region=All,1,,/games/boxart/default.jpg
29938,Entwined,entwined,Action,,PS4,Sony Computer Entertainment,PixelOpus,,,,,,,,,,2014,07th Apr 18,http://www.vgchartz.com/game/82892/entwined/?region=All,1,,/games/boxart/full_2159484AmericaFrontccc.jpg
30050,Ether One,ether-one,Adventure,E10,PS4,Soedesco,White Paper Games,,,,,,,,,,2016,22nd Nov 18,http://www.vgchartz.com/game/84145/ether-one/?region=All,1,7.8,/games/boxart/full_7497297AmericaFrontccc.jpg
30122,EverQuest Next,everquest-next,MMO,,PS4,Sony Online Entertainment,Sony Online Entertainment,,,,,,,,,,2019,15th Sep 18,http://www.vgchartz.com/game/78471/everquest-next/?region=All,1,,/games/boxart/full_5257093AmericaFrontccc.png
30130,Everybody's Gone to the Rapture,everybodys-gone-to-the-rapture,Adventure,,PS4,Sony Computer Entertainment,The Chinese Room,,,,,,,,,,2015,14th Sep 18,http://www.vgchartz.com/game/76719/everybodys-gone-to-the-rapture/?region=All,1,,/games/boxart/full_7181904AmericaFrontccc.jpg
30393,Fallen Legion,fallen-legion,Role-Playing,,PS4,Acttil,YummyYummyTummy,,,,,,,,,,2017,,http://www.vgchartz.com/game/86231/fallen-legion/?region=All,1,,/games/boxart/full_6644791AmericaFrontccc.jpg
30396,Falling Skies: The Game,falling-skies-the-game,Role-Playing,,PS4,Little Orbit,Little Orbit,,,,,,,,,,2016,,http://www.vgchartz.com/game/83116/falling-skies-the-game/?region=All,1,,/games/boxart/default.jpg
30603,Fat Princess Adventures,fat-princess-adventures,Action,,PS4,Sony Computer Entertainment,Fun Bits,,,,,,,,,,2015,,http://www.vgchartz.com/game/84955/fat-princess-adventures/?region=All,1,,/games/boxart/full_9995755AmericaFrontccc.jpg
30665,Fe,fe,Action,E,PS4,Electronic Arts,Zoink Games,,,,,,,,,,2018,18th Jul 18,http://www.vgchartz.com/game/118327/fe/?region=All,1,,/games/boxart/full_2228730AmericaFrontccc.png
30682,Fenix Rage,fenix-rage,Misc,,PS4,Unknown,Unknown,,,,,,,,,,2014,,http://www.vgchartz.com/game/82739/fenix-rage/?region=All,1,,/games/boxart/default.jpg
30706,Fez,fez,Misc,,PS4,Polytron,Unknown,,,,,,,,,,2014,,http://www.vgchartz.com/game/79666/fez/?region=All,1,,/games/boxart/full_8720178AmericaFrontccc.jpeg
30873,Final Fantasy VII Remake,final-fantasy-vii-remake,Role-Playing,,PS4,Square Enix,Square Enix,,,,,,,,,,2019,,http://www.vgchartz.com/game/85671/final-fantasy-vii-remake/?region=All,1,,/games/boxart/full_2235654AmericaFrontccc.jpeg
30992,Firewatch,firewatch,Adventure,M,PS4,Campo Santo,Campo Santo,,8.2,,,,,,,,2016,08th Apr 18,http://www.vgchartz.com/game/85785/firewatch/?region=All,1,,/games/boxart/full_1790763AmericaFrontccc.jpeg
31144,flOw,flow,Simulation,E,PS4,Sony Computer Entertainment,SuperVillain Studios,,,,,,,,,,2013,23rd Sep 18,http://www.vgchartz.com/game/72334/flow/?region=All,1,,/games/boxart/full_5289909AmericaFrontccc.jpg
31148,flower,flower,Adventure,E,PS4,Sony Computer Entertainment,thatgamecompany,,8.8,,,,,,,,2013,23rd Sep 18,http://www.vgchartz.com/game/76933/flower/?region=All,1,,/games/boxart/full_7009572AmericaFrontccc.jpg
31240,forma.8,forma8,Misc,,PS4,Mixedbag Srl,Unknown,,,,,,,,,,2015,,http://www.vgchartz.com/game/79310/forma8/?region=All,1,,/games/boxart/default.jpg
31726,Galak-Z: The Dimensional,galak-z-the-dimensional,Action,,PS4,17-Bit,17-Bit,,,,,,,,,,2015,07th Apr 18,http://www.vgchartz.com/game/73149/galak-z-the-dimensional/?region=All,1,,/games/boxart/full_7760311AmericaFrontccc.jpg
32018,Geometry Wars 3: Dimensions,geometry-wars-3-dimensions,Shooter,,PS4,Sierra Entertainment,Lucid Games,,,,,,,,,,2014,,http://www.vgchartz.com/game/84823/geometry-wars-3-dimensions/?region=All,1,,/games/boxart/full_4261875AmericaFrontccc.jpg
32060,Get Even,get-even,Misc,,PS4,Farm 51,Unknown,,,,,,,,,,2018,,http://www.vgchartz.com/game/78214/get-even/?region=All,1,,/games/boxart/default.jpg
32169,Ginger: Beyond the Crystal,ginger-beyond-the-crystal,Platform,,PS4,PQube,Badland Studio,,,,,,,,,,2016,21st Sep 18,http://www.vgchartz.com/game/141692/ginger-beyond-the-crystal/?region=All,1,,/games/boxart/full_8834471PALFrontccc.jpg
32299,God Wars: Beyond Time,god-wars-beyond-time,Role-Playing,,PS4,Kadokawa Games,Kadokawa Games,,,,,,,,,,2017,,http://www.vgchartz.com/game/86161/god-wars-beyond-time/?region=All,1,,/games/boxart/default.jpg
